t,W,Q,H,S,A,P
44 days,262.5944375,770.2451,264.19701249999997,0.00023471215165545475,691.1435124999999,
44 days,243.0202375,770.8346875,262.7734875,0.0002250522459793258,718.032675,
45 days,235.4277,747.731877777778,265.9343444444445,0.00018074326690803143,791.2296333333333,
45 days,236.84144285714288,750.1800428571429,265.09575714285717,0.00015072789042443953,798.5035571428572,
45 days,260.845775,752.2814125,264.15565000000004,0.00023346728400454398,681.9223249999999,
45 days,242.0344375,754.458175,262.73112499999996,0.00022505224597933938,708.5102250000001,
46 days,234.4492111111111,734.7297666666667,265.8905555555556,0.0001815438128803884,780.9541555555555,
46 days,236.0140714285714,735.1030714285715,265.0498428571429,0.00015088161596286834,787.6485142857143,
46 days,258.942675,735.3444625,264.110125,0.00023372936140473246,671.8448624999999,
46 days,240.29115000000002,735.4531125,262.67115,0.00022746727751820841,695.0971875000001,
47 days,234.6302,737.5596555555555,265.89862222222223,0.000181663894776234,782.8459666666666,
47 days,236.1478142857143,737.8795714285715,265.0572571428571,0.00015093285780901127,789.3965142857143,
47 days,259.21785,738.05865,264.11663749999997,0.0002339259194548769,673.285625,
47 days,240.5109,738.0929874999999,262.67836250000005,0.00022739554390814717,696.7103625000001,
48 days,234.18695555555556,729.7709888888888,265.8789666666667,0.00018106348529697196,778.2373000000001,
48 days,235.85165714285716,731.0829571428569,265.04094285714285,0.0001504973021168036,785.5432,
48 days,258.6637,732.142175,264.10361249999994,0.0002332707259543995,670.402675,
48 days,240.138325,733.1393,262.6666,0.0002271086094678886,694.0749625,
49 days,233.21207777777778,717.0953777777778,265.8352777777778,0.00018190405856794792,768.0392777777777,
49 days,235.01724285714286,716.1549857142855,264.9946571428571,0.0001506510276552324,774.6433714285715,
49 days,256.7457875,715.2656874999999,264.057775,0.0002335109635712317,660.3186125,
49 days,238.37355,714.245475,262.6071875,0.00022930844017656033,680.8465000000001,
50 days,233.87168888888885,725.7101222222223,265.8648111111111,0.00018128363543937068,774.9274666666666,
50 days,235.57680000000002,726.2208285714286,265.0256857142857,0.0001504716811937394,781.9517571428571,
50 days,258.02485,726.567325,264.0883375,0.00023337992487114368,667.0353124999999,
50 days,239.5377625,726.7888750000001,262.6461875,0.00022796941278866432,689.531325,
51 days,231.86971111111112,695.1891444444445,265.7757555555555,0.00018062318501217448,754.1913888888889,
51 days,234.0705857142857,695.9340714285715,264.9424,0.00014931873965554524,762.3883857142856,
51 days,254.88943749999999,696.63025,264.013925,0.00023193849917008846,650.7059375,
51 days,237.03164999999996,697.4635250000001,262.5639875,0.00022906932814300017,671.241975,
52 days,232.32439999999997,702.5374666666668,265.79589999999996,0.00018106348529697196,758.8692888888888,
52 days,234.39065714285715,702.7595142857143,264.9600857142857,0.00014970305350160996,766.5301,
52 days,255.51225,702.9447,264.0286125,0.00023244081418712155,653.9247250000001,
52 days,237.46056250000004,703.084575,262.577575,0.00022935626258327235,674.2639875000001,
53 days,232.8281222222222,708.2813444444444,265.81858888888894,0.00018020289837669218,764.1342888888889,
53 days,234.84767142857143,710.4743714285714,264.98547142857143,0.00014947246519397405,772.4856714285714,
53 days,256.5857125,712.1959999999999,264.05424999999997,0.0002323097754870211,659.5412999999999,
53 days,238.46063750000002,713.740625,262.6113625,0.00022796941278866432,681.7600125,
54 days,231.7677888888889,694.3508222222222,265.7711111111111,0.00018098343069973397,753.1186333333333,
54 days,233.96198571428573,694.4922428571429,264.93634285714285,0.00014954932796319573,760.9724714285715,
54 days,254.5982375,694.4763875,264.0065375,0.00023233161527037738,649.0961125,
54 days,236.65101249999998,694.2729750000001,262.55044999999996,0.00023024097710741087,668.2497125,
55 days,232.02316666666664,698.1812222222223,265.7824666666667,0.00018106348529697196,755.749488888889,
55 days,234.15404285714285,698.2601428571428,264.94698571428574,0.00014962619073240283,763.4586857142858,
55 days,254.9929375,698.2702875,264.016225,0.0002323752948370651,651.2183,
55 days,237.00492500000001,698.1656750000001,262.562225,0.0002299540426671523,670.8576250000001,
56 days,233.39624444444448,719.773,265.8434777777777,0.00018190405856794792,769.9518222222221,
56 days,235.1610142857143,718.9224285714284,265.00262857142855,0.0001506510276552324,776.5189142857143,
56 days,257.0582875,718.1529875,264.06525,0.00023353280335458798,661.9576000000001,
56 days,238.6398375,717.2795125,262.61596249999997,0.00022914106175307502,682.7945500000001,
57 days,231.51901111111113,688.0944111111111,265.7603666666667,0.00017954244794950736,750.6188111111111,
57 days,233.88474285714287,690.7121285714286,264.93224285714285,0.00014844762827115904,760.017,
57 days,254.65023749999997,693.129425,264.008225,0.000230846510002622,649.45925,
57 days,237.007275,695.8703875,262.5643875,0.00022789767917860308,671.3282624999999,
58 days,230.22321111111108,670.3737888888888,265.7025,0.00017996273458498963,737.2685111111111,
58 days,232.84134285714285,671.6403285714287,264.8744142857143,0.00014831952365579443,746.5225714285714,
58 days,251.091225,672.752925,263.952875,0.00023078099065256558,637.4202875,
58 days,234.66751250000002,673.9359000000001,262.4944875,0.00023038444432754696,655.8663250000001,
59 days,230.8412222222222,681.2500555555556,265.72976666666665,0.00018112352624489474,743.5614,
59 days,233.22904285714284,680.6738714285714,264.8957571428572,0.00014921625596327393,751.4908857142857,
59 days,252.47735,680.1130250000001,263.9686625,0.00023200401852013246,640.8510749999999,
59 days,235.09412499999996,679.3966624999999,262.5050875,0.00023141262607182157,658.2128749999999,
60 days,231.97752222222223,696.3521999999999,265.7806,0.00018044306216839472,755.3125777777776,
60 days,234.16932857142857,697.6076142857144,264.94788571428575,0.0001493187396555598,763.6758142857143,
60 days,255.110425,698.6686125,264.019175,0.00023191665938673218,651.8567250000001,
60 days,237.20459999999997,699.6911625,262.56951250000003,0.00022914106175307502,672.4686999999999,
61 days,231.25674444444445,685.7899,265.7484666666667,0.00018032298027254915,747.8792666666667,
61 days,233.6149142857143,686.8540714285715,264.91724285714287,0.00014885756304028796,756.5035571428571,
